,linear.weight,linear.bias
0,"[[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]]",[1.]
1,"[[0.7819281  0.9124933  0.5217116  0.55995625 0.93110096 0.46066597
  0.79130757 0.64994675 0.711868   0.56297785 0.54646397 0.9121619
  0.7640983  0.6284182  0.9115859  0.5324115  0.8935432  0.9276699
  0.53020173 0.5385649  0.4906145  0.56758493 0.5171129  0.709428
  0.8044493  0.8079263  0.57762766 0.5669964  0.80582386 0.90218323
  0.6769461  0.52777344 0.7446386  0.9361918  0.8407569  0.7272484
  0.5653312  0.53120476 0.80403835 0.55669117 0.9831271  0.7494462
  0.83991027 0.6744252  0.7470065  0.69477624 0.81304085 0.97162545
  0.937163   0.91592795 0.5467124  0.9203095  0.89128935 0.6544252
  0.8812468  0.86573607 0.99820876 0.9545391  0.5562539  0.89891845
  0.9124105  0.96825993 0.9417615  0.98269975 0.92867285 0.89589643
  0.8918782  0.9649236 ]]",[-1.8850514]
2,"[[0.6803774  0.8836467  0.3734775  0.4386695  0.89695585 0.24505547
  0.6971423  0.4299249  0.6593517  0.43854514 0.42025608 0.8714272
  0.7371627  0.3739259  0.90283334 0.35185966 0.8394353  0.89536077
  0.39172333 0.4100433  0.3359412  0.4454654  0.37461963 0.59407634
  0.71329844 0.70775795 0.42780155 0.4513505  0.74385464 0.8484659
  0.60266274 0.3860846  0.6130667  1.0674295  0.8564555  0.592967
  0.44360548 0.38768014 0.69749343 0.43457457 0.97067    0.68896365
  0.86378974 0.56571114 0.623689   0.545878   0.7732412  0.95947474
  0.90956306 0.9588313  0.4116133  0.8729972  0.8375747  0.5697422
  0.8552394  0.7716865  1.0379853  0.96341294 0.41472375 0.8443713
  0.86278456 0.94709915 0.90842104 1.0386591  0.8913172  0.8444955
  0.83169013 0.9537675 ]]",[-2.7644734]
3,"[[0.62840104 0.8777646  0.35813865 0.44496098 0.8785761  0.16275117
  0.6511219  0.2670549  0.7004558  0.43907955 0.42545694 0.85172755
  0.7913149  0.17327778 0.9274513  0.29003796 0.80941784 0.8815812
  0.38725293 0.4149876  0.32545185 0.44721487 0.369681   0.5518432
  0.6684227  0.648419   0.39136714 0.46390632 0.737541   0.81485975
  0.6279912  0.37781596 0.53487396 1.2720143  0.93847686 0.5154061
  0.44697464 0.37481135 0.62866795 0.44153234 0.9600034  0.70454854
  0.95830584 0.5439422  0.55593675 0.4650778  0.7925359  0.95390946
  0.89825356 1.049396   0.4046646  0.84140456 0.8091766  0.58796954
  0.86502546 0.6963236  1.0936416  0.9935346  0.397624   0.81143165
  0.8309351  0.93094    0.88671136 1.1236383  0.8691391  0.8173127
  0.7924861  0.9518192 ]]",[-2.8267539]
4,"[[ 0.58211356  0.872603    0.35180935  0.45908698  0.86194587  0.09274192
   0.61019796  0.11528128  0.74393684  0.44694018  0.4383562   0.83437026
   0.8462455  -0.01426464  0.9529529   0.23903906  0.7828789   0.8698292
   0.39172208  0.4279814   0.32476592  0.4561454   0.37345237  0.5171236
   0.6288798   0.59504026  0.3642935   0.4845169   0.73621714  0.7841194
   0.6583472   0.37851495  0.4641102   1.4725182   1.020492    0.4447784
   0.4575823   0.3706321   0.5648957   0.45634165  0.94960904  0.7233371
   1.0525254   0.52773154  0.49652448  0.39421573  0.8147305   0.94851243
   0.8886518   1.1381522   0.40609053  0.8124797   0.7843151   0.61158097
   0.87616783  0.6246615   1.1477197   1.0231067   0.39024848  0.78137445
   0.8021045   0.9156948   0.86700857  1.2072339   0.84873885  0.7935208
   0.7559439   0.95031494]]",[-2.8303318]
5,"[[ 0.5382137   0.8666659   0.34578782  0.47269574  0.84600097  0.02628528
   0.57121724 -0.02668482  0.7836815   0.45397636  0.4503616   0.81793994
   0.89667827 -0.18022078  0.9771166   0.19105878  0.7581765   0.85884714
   0.39634153  0.4402924   0.32441488  0.4641785   0.37692627  0.48509863
   0.5915798   0.5449193   0.33912206  0.50474715  0.7361584   0.75489545
   0.6872251   0.3794377   0.39726928  1.6640465   1.0981697   0.37738454
   0.46726236  0.3665921   0.5037212   0.47054338  0.9393696   0.74033976
   1.1417987   0.5114305   0.44175786  0.32876104  0.83593845  0.94284993
   0.87965095  1.2219514   0.40749875  0.7851465   0.76125985  0.6338587
   0.88631696  0.55547726  1.1991541   1.0507317   0.38440263  0.7527436
   0.7750767   0.90102345  0.84851235  1.2874907   0.8290973   0.7714624
   0.72069126  0.94864815]]",[-2.8289318]
6,"[[ 0.4963325   0.859959    0.33946246  0.48527098  0.83065623 -0.02985212
   0.53382397 -0.1504643   0.8196307   0.4597055   0.4609675   0.8023118
   0.9426579  -0.33843175  0.9999212   0.1453543   0.7350946   0.8485294
   0.4005169   0.45138657  0.3237571   0.47084013  0.37953356  0.4552233
   0.5561697   0.4976384   0.3152261   0.5240702   0.7370166   0.72700816
   0.71429944  0.3799752   0.33384502  1.8469384   1.1715429   0.31273913
   0.47553745  0.36210263  0.44480965  0.48362374  0.92926764  0.75540817
   1.2261842   0.49469423  0.39100173  0.26797423  0.8559722   0.93692094
   0.87116927  1.3009616   0.4083195   0.7592451   0.7397911   0.65446174
   0.8954057   0.48855788  1.2480845   1.0764852   0.3794043   0.7253612
   0.7496638   0.8868739   0.8310982   1.3645209   0.81011486  0.750926
   0.68656075  0.94679224]]",[-2.8263521]
7,"[[ 0.4563095   0.852581    0.3327688   0.49681422  0.81588435 -0.07719235
   0.4978707  -0.26818946  0.85208726  0.46415898  0.47020546  0.7874402
   0.9845423  -0.48946115  1.0214673   0.10168137  0.71351045  0.8388382
   0.4042017   0.4612783   0.32273838  0.4761655   0.3812655   0.42725977
   0.5224855   0.45296478  0.29244512  0.54248434  0.7386737   0.7003592
   0.73964274  0.38006717  0.2735583   2.021777    1.240864    0.25059888
   0.4824419   0.3571141   0.3879805   0.49559307  0.91929287  0.76869196
   1.3060071   0.47752944  0.3438655   0.21141016  0.87488675  0.930749
   0.86318326  1.3755223   0.40851134  0.7346736   0.71978563  0.67346615
   0.903507    0.4237648   1.2947451   1.1005155   0.3750771   0.69913805
   0.72574586  0.87321293  0.81468654  1.4385492   0.7917506   0.7317925
   0.6534668   0.94475484]]",[-2.823075]
8,"[[ 0.41806537  0.8446509   0.3258501   0.50751835  0.8016757  -0.12218648
   0.46329898 -0.3802201   0.8814621   0.4675553   0.47830394  0.77330685
   1.0227761  -0.6337412   1.0418873   0.05998683  0.693339    0.82975805
   0.40755248  0.47018045  0.32152176  0.48037586  0.382321    0.40110755
   0.49044102  0.4107417   0.27079678  0.56017107  0.7410981   0.67488545
   0.76347214  0.37986085  0.2162327   2.1891694   1.3064742   0.19083038
   0.48819855  0.35177913  0.33312652  0.5066518   0.90943944  0.78042936
   1.3816696   0.4600748   0.3000758   0.15876175  0.8928203   0.9243644
   0.85568714  1.4460049   0.4082301   0.71135646  0.7011606   0.6910958
   0.9107405   0.3609878   1.3393246   1.1229885   0.3714452   0.6740191
   0.70323277  0.8600147   0.79921603  1.509804    0.77398497  0.7139813
   0.6213652   0.9425616 ]]",[-2.8183482]
9,"[[ 0.38147736  0.8362534   0.3187257   0.51745003  0.7880003  -0.1649923
   0.4300127  -0.48693702  0.9080451   0.46999058  0.48536187  0.75986844
   1.0576907  -0.7717195   1.061268    0.02011706  0.6744728   0.8212515
   0.4105966   0.47817597  0.320131    0.48357123  0.3827647   0.37661177
   0.45991245  0.3707895   0.25019673  0.5771842   0.7442082   0.6505066
   0.785903    0.37937889  0.16165906  2.349608    1.3686311   0.13326395
   0.49290767  0.3461284   0.2801158   0.51687336  0.8997002   0.7907678
   1.453475    0.44238284  0.25933576  0.10968957  0.90984875  0.91778904
   0.848654    1.5127075   0.40751132  0.68920356  0.68380815  0.7074674
   0.9171835   0.3001087   1.3819729   1.1440353   0.3684241   0.64992994
   0.6820174   0.84724814  0.784615    1.5784681   0.7567835   0.6973885
   0.5901949   0.9402272 ]]",[-2.8122098]
10,"[[ 0.34641102  0.8274576   0.3113741   0.5266319   0.77481955 -0.20579973
   0.39790747 -0.58871496  0.93206996  0.47151795  0.49143326  0.7470722
   1.0895641  -0.9038332   1.0796758  -0.0123179   0.6567975   0.81327254
   0.4133178   0.48530194  0.3185416   0.48580897  0.3826156   0.35360676
   0.43076658  0.3329283   0.23053166  0.59353155  0.74790967  0.6271388
   0.80701244  0.37860268  0.10962451  2.5035274   1.427554    0.07772485
   0.49662587  0.3401508   0.2288124   0.52628464  0.89006776  0.7998163
   1.5216825   0.42447412  0.22135404  0.0638591   0.9260233   0.9110396
   0.8420488   1.5758908   0.4063507   0.6681207   0.6676137   0.72265655
   0.92289174  0.24101031  1.4228238   1.1637757   0.36589524  0.62679154
   0.661989    0.83488065  0.77080715  1.6447012   0.7401054   0.6819042
   0.55989087  0.9377651 ]]",[-2.804972]
11,"[[ 0.31271154  0.81833535  0.3037015   0.5350095   0.76208293 -0.2448609
   0.36685482 -0.6859406   0.95369923  0.4721171   0.49649426  0.7348496
   1.1186057  -1.0305268   1.0971471  -0.03524252  0.64018697  0.80575985
   0.4156218   0.4915184   0.31664696  0.48707378  0.38181236  0.3319013
   0.40284294  0.2969717   0.2116275   0.60914797  0.7520784   0.6046863
   0.8268123   0.37743977  0.05989458  2.6512947   1.4834139   0.02401551
   0.49933663  0.3337639   0.17906038  0.53483796  0.8805332   0.8076224
   1.5864917   0.4063177   0.18582521  0.02091773  0.9413623   0.9041278
   0.8358218   1.6357738   0.40467387  0.6480047   0.6524494   0.73668075
   0.9278961   0.18357     1.4619857   1.1823592   0.36365232  0.60451454
   0.64302856  0.822876    0.75771105  1.7086349   0.72390187  0.6674054
   0.5303752   0.9352066 ]]",[-2.7974207]
12,"[[ 0.28029785  0.80896235  0.2957953   0.5427048   0.7497663  -0.28223646
   0.33680132 -0.77890134  0.9732133   0.4719341   0.5006978   0.7231667
   1.1451315  -1.1521468   1.113767   -0.05693576  0.62455773  0.79868555
   0.41760203  0.49696538  0.31453994  0.48751518  0.3804813   0.3114106
   0.37606034  0.2627938   0.19347669  0.6241417   0.7566779   0.58308905
   0.84545046  0.37598076  0.01232409  2.7933543   1.5364606  -0.0207894
   0.50119025  0.32706264  0.1307688   0.5426598   0.87109137  0.81433743
   1.6481856   0.38799718  0.15253568 -0.01278361  0.95597166  0.89707357
   0.8299523   1.6926222   0.4025812   0.62878215  0.63823265  0.7496878
   0.9322713   0.1276968   1.4995857   1.1999115   0.36169133  0.58304363
   0.62504977  0.81120765  0.7452664   1.7704332   0.7081459   0.65381277
   0.5016055   0.9325724 ]]",[-2.7891915]
