,linear.weight,linear.bias
0,"[[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]]",[1.]
1,"[[0.94096273 0.97572106 0.86771476 0.877707   0.981252   0.8522226
  0.9431614  0.9061825  0.9194566  0.8787176  0.8739716  0.9762048
  0.93338704 0.9011878  0.975438   0.8719266  0.97142243 0.9805001
  0.8697298  0.8718445  0.8589123  0.87992907 0.86613697 0.9203885
  0.94668436 0.94799256 0.8839176  0.8797244  0.94657844 0.97367835
  0.9095968  0.8693076  0.9308921  0.9781058  0.95404243 0.92587006
  0.8791367  0.87005925 0.94711787 0.87688124 0.99565375 0.93017083
  0.9536574  0.9098546  0.93110275 0.91717243 0.9474594  0.99233454
  0.9828449  0.9747141  0.87435454 0.9787148  0.97063    0.9038748
  0.96664196 0.9644799  0.9983365  0.98659426 0.8773932  0.9728523
  0.9765879  0.9916472  0.9844222  0.993538   0.9808297  0.9718418
  0.97083473 0.99024713]]",[0.23069252]
2,"[[0.8869339  0.95369506 0.7475969  0.7672248  0.96442664 0.71817935
  0.8915871  0.82058835 0.8469853  0.7687982  0.7601434  0.9544332
  0.8736653  0.8110753  0.95313215 0.75551534 0.9454466  0.96299607
  0.75179005 0.75570136 0.73128796 0.77115005 0.745365   0.8481199
  0.89855677 0.90069366 0.77904975 0.7707859  0.8981574  0.9501559
  0.82833123 0.7508388  0.8679622  0.9591166  0.9128999  0.85801506
  0.76981795 0.752269   0.8994807  0.7651095  0.9914711  0.8671452
  0.911656   0.828432   0.8682799  0.8416002  0.90068275 0.98524016
  0.96766806 0.9522804  0.7608318  0.9595636  0.94411474 0.8167082
  0.9362158  0.93212545 0.9970852  0.9748759  0.76666355 0.9480398
  0.95512176 0.9839771  0.9699     0.9878554  0.9634751  0.9464672
  0.9444788  0.9814389 ]]",[-0.5220258]
3,"[[0.8315103  0.9315143  0.6257046  0.65564674 0.9470101  0.5810392
  0.83827746 0.7312642  0.773803   0.6577728  0.6450149  0.932139
  0.8135923  0.71688014 0.9306945  0.6363023  0.91851836 0.944953
  0.63238806 0.638455   0.60181284 0.6611469  0.62302464 0.7738308
  0.848681   0.8517445  0.6722411  0.6607036  0.8489189  0.92551225
  0.74619824 0.6306989  0.80340636 0.94302696 0.8721105  0.7884378
  0.6591894  0.6327553  0.8498701  0.65219647 0.9871554  0.80387783
  0.87089145 0.7456392  0.80390483 0.76411635 0.8533739  0.97794706
  0.9520039  0.93082154 0.6455691  0.9392534  0.9165616  0.7290274
  0.90546805 0.8982155  0.996669   0.9634889  0.65383613 0.9220613
  0.9326936  0.9758951  0.95468366 0.98351616 0.94532067 0.91993636
  0.91700464 0.97271496]]",[-1.2475771]
4,"[[0.78435266 0.91336954 0.5260566  0.56482273 0.93200016 0.4660664
  0.79340416 0.6520923  0.7156203  0.56747    0.55148584 0.91312945
  0.76685417 0.6319929  0.9134008  0.53688294 0.8950188  0.9292435
  0.53513074 0.54318166 0.49605614 0.57178134 0.5229865  0.7117733
  0.8064402  0.8096054  0.5835382  0.5713145  0.80813503 0.90404093
  0.68025833 0.53261167 0.7474123  0.93825686 0.8424395  0.7288622
  0.5695913  0.5353672  0.8065877  0.5605705  0.983203   0.75283754
  0.8414967  0.6776093  0.7489901  0.6977575  0.8154268  0.9719447
  0.9385544  0.9168725  0.5514814  0.92142946 0.8928298  0.6581708
  0.88107336 0.8673413  0.99854434 0.955365   0.5611169  0.89978784
  0.9131257  0.9685544  0.9416244  0.9832585  0.9294807  0.8971419
  0.89329594 0.9654422 ]]",[-1.8498318]
5,"[[0.7453142  0.8995129  0.45154512 0.49848527 0.91927445 0.3748407
  0.75621426 0.5805934  0.67660755 0.50142515 0.48327887 0.8974299
  0.73724574 0.5530883  0.9026272  0.45872402 0.8751577  0.9163929
  0.4630962  0.47367233 0.41738448 0.50655305 0.44900748 0.6629338
  0.771287   0.7735041  0.51486886 0.506832   0.7773911  0.88519365
  0.63386697 0.45990753 0.6998525  0.95118773 0.8274804  0.6790995
  0.50402254 0.46278805 0.7691969  0.4939875  0.9795118  0.7162468
  0.82774776 0.6260749  0.70257324 0.641936   0.78872246 0.96698177
  0.9276361  0.9143814  0.4817514  0.905509   0.8726278  0.6078943
  0.8643128  0.8386685  1.0043398  0.9518919  0.49142367 0.8806952
  0.89590263 0.9617961  0.93017334 0.98988146 0.91608524 0.8777568
  0.87234855 0.95983386]]",[-2.2731318]
6,"[[0.7169601  0.8909055  0.40801826 0.46208602 0.9097042  0.31399146
  0.73025495 0.52157277 0.65921825 0.46457592 0.44560918 0.8860078
  0.7271452  0.48511392 0.89924    0.40770218 0.8602522  0.90737236
  0.42216492 0.4351266  0.37173635 0.47035223 0.40674233 0.6302178
  0.74588144 0.7461601  0.47180733 0.4719445  0.7589026  0.8706184
  0.61095154 0.41820773 0.6636583  0.9822443  0.8288399  0.6419238
  0.46765783 0.4205387  0.74035436 0.45729297 0.97625613 0.69769275
  0.83085877 0.5948867  0.66869265 0.6007665  0.77621    0.9635831
  0.91989297 0.9234593  0.44190356 0.89278495 0.85755867 0.58203
  0.8561043  0.8135569  1.0139191  0.9532928  0.45021105 0.8658247
  0.88230234 0.9561742  0.92116874 1.0034207  0.9057466  0.86333597
  0.85596615 0.9563796 ]]",[-2.5255113]
7,"[[0.69421107 0.88546926 0.38268772 0.44350708 0.902004   0.2706508
  0.70974827 0.46818632 0.65577614 0.44487873 0.42625156 0.8769016
  0.7293868  0.4224459  0.900967   0.37238118 0.8483736  0.9005636
  0.39969546 0.41488132 0.34597486 0.45100254 0.38366753 0.6069519
  0.7266963  0.72338045 0.44435665 0.45490634 0.74827075 0.85876936
  0.6027878  0.3949953  0.63444626 1.026132   0.8401959  0.6111289
  0.448624   0.39643466 0.71590257 0.43822974 0.9731082  0.6900461
  0.84531516 0.5754293  0.6412218  0.567612   0.7725027  0.9608977
  0.9143108  0.9404029  0.4200969  0.8821177  0.84599555 0.5703021
  0.8526424  0.790281   1.026347   0.9579313  0.42602038 0.8534909
  0.87074757 0.951023   0.9133305  1.0219581  0.89730334 0.8521203
  0.8420919  0.9542873 ]]",[-2.6560934]
8,"[[0.67827904 0.8830459  0.37088677 0.43694565 0.89659405 0.24259774
  0.69557434 0.4249068  0.6601942  0.43696365 0.41917768 0.87084126
  0.7375713  0.37061614 0.90539634 0.35006228 0.839692   0.89607334
  0.3907568  0.40775675 0.33463144 0.44351766 0.3739155  0.59193015
  0.7132221  0.70649666 0.4284627  0.44997364 0.7428341  0.8493404
  0.6031115  0.3847966  0.6120143  1.0714046  0.8559836  0.588638
  0.44169682 0.3853164  0.6971203  0.43205008 0.9704739  0.6894592
  0.8637008  0.5653022  0.62119514 0.543819   0.77328426 0.95918113
  0.91050315 0.9597286  0.41054866 0.87363374 0.83787173 0.56816787
  0.8529279  0.7710075  1.0387917  0.96413976 0.41379768 0.84444374
  0.862213   0.94675773 0.90747404 1.04072    0.89063346 0.84442693
  0.8314162  0.9531176 ]]",[-2.7189586]
9,"[[0.6647403  0.88085085 0.36437905 0.43531397 0.8918358  0.21983905
  0.68397135 0.38554507 0.6677589  0.43436778 0.4175264  0.8655907
  0.7486851  0.3218497  0.9102406  0.33296984 0.83208174 0.8924344
  0.38686612 0.40628484 0.3289252  0.44130203 0.36988488 0.5800287
  0.7015645  0.6917152  0.41754854 0.44973361 0.74037224 0.840907
  0.6070171  0.37992197 0.59227777 1.1180645  0.8740265  0.5686689
  0.43967417 0.37932244 0.6795906  0.43085068 0.96793514 0.6917279
  0.88474053 0.5579536  0.60399735 0.52307236 0.77713764 0.95772016
  0.90737814 0.97979707 0.40616655 0.86547273 0.83045447 0.5701921
  0.85420907 0.75243866 1.0519178  0.97068214 0.40726018 0.8364425
  0.8542315  0.9428311  0.9018717  1.0601723  0.8848913  0.8373901
  0.8220235  0.95239663]]",[-2.755866]
