,linear.weight,linear.bias
0,[[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]],[1.]
1,"[[0.58804125 0.60734606 0.56284356 0.57606924 0.5800381  0.55930674
  0.55693483 0.5782034  0.56613755 0.59325147 1.2999258  0.29125774
  0.8962918  0.8970385  0.8957911  0.89535284 0.5701598  0.3434182
  0.6872776  1.0498388  0.96954405 0.9731227 ]]",[-2.8051264]
2,"[[ 0.54427403  0.5830837   0.49957678  0.5449459   0.5610849   0.49513793
   0.4719407   0.5462005   0.5366967   0.5632365   0.8155347   0.25515914
   0.81664664  0.8218894   0.8140404   0.797545    0.17881636 -0.236783
   0.40333286  1.1022618   0.95890486  0.9683708 ]]",[-2.7970192]
3,"[[ 0.49388638  0.5507628   0.43640018  0.5220362   0.55049586  0.4318881
   0.37734884  0.5194261   0.51903194  0.53271365  0.4890906   0.20823711
   0.7438854   0.7529376   0.73650926  0.69626427 -0.1617219  -0.7241963
   0.13294     1.1456126   0.94935703  0.9653054 ]]",[-2.779106]
4,"[[ 0.44101915  0.5126832   0.3743512   0.5033524   0.5424584   0.3669993
   0.2818438   0.49612203  0.5057492   0.4990372   0.2699677   0.1535084
   0.6755964   0.6888373   0.66436994  0.5962149  -0.43776911 -1.1828994
  -0.09262373  1.1831334   0.9392014   0.96438295]]",[-2.7593787]
5,"[[ 0.38749057  0.4721032   0.31414846  0.48448622  0.53654045  0.30412084
   0.18678428  0.47286686  0.49559316  0.4634029   0.12184372  0.0943739
   0.61035687  0.63007456  0.5962918   0.49866578 -0.6971718  -1.6143457
  -0.26079467  1.2168181   0.9297745   0.9645659 ]]",[-2.735356]
6,"[[ 0.33406582  0.43009767  0.25566244  0.4649707   0.53111607  0.24353762
   0.09331243  0.44905525  0.48667467  0.42674387  0.02031079  0.03238466
   0.5480973   0.57584614  0.5321422   0.40435496 -0.940442   -2.020206
  -0.41967365  1.2472938   0.9208408   0.9654025 ]]",[-2.7075577]
7,"[[ 2.8122583e-01  3.8735923e-01  1.9869131e-01  4.4500402e-01
   5.2549905e-01  1.8502511e-01  2.2467133e-03  4.2473409e-01
   4.7800636e-01  3.8979283e-01 -9.4890995e-03 -4.6265009e-03
   4.8874706e-01  5.2552634e-01  4.7173399e-01  3.1347024e-01
  -1.1683862e+00 -2.4019201e+00 -5.6934494e-01  1.2747941e+00
   9.1221327e-01  9.6666378e-01]]",[-2.6755095]
8,"[[ 0.22780523  0.34281656  0.14133123  0.42389318  0.5188841   0.126759
  -0.05860071  0.39890498  0.4683916   0.35189772 -0.01301875 -0.02122261
   0.43213317  0.47869644  0.4146374   0.2249633  -1.3814772  -2.7598362
  -0.7102263   1.2983074   0.9038985   0.9681246 ]]",[-2.6539114]
9,"[[ 0.17594615  0.29850757  0.08552332  0.4029774   0.5120182   0.07040884
  -0.09178112  0.37297484  0.458505    0.31494462 -0.01952694 -0.02990665
   0.3782023   0.43576875  0.36069643  0.13575363 -1.5783544  -3.0936685
  -0.8437197   1.3159254   0.8974385   0.96943086]]",[-2.6440682]
