,linear.weight,linear.bias
0,"[[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]]",[1.]
1,"[[0.99489915 0.99489915 0.99489915 0.99489915 0.99489915 0.99489915
  0.99489915 0.99489915 0.99489915 0.99489915 0.99489915 0.99489915
  0.99489915 0.99489915 0.99489915 0.99489915 0.99489915 0.99489915
  0.99489915 0.99489915 0.99489915 0.99489915 0.99489915 0.99489915
  0.99489915 0.99489915 0.99489915 0.99489915 0.99489915 0.99489915
  0.99489915 0.99489915 0.99489915 0.99489915 0.99489915 0.99489915
  0.99489915 0.99489915 0.99489915 0.99489915 0.99489915 0.99489915
  0.99489915 0.99489915 0.99489915 0.99489915 0.99489915 0.99489915
  0.99489915 0.99489915 0.99489915 0.99489915 0.99489915 0.99489915
  0.99489915 0.99489915 0.99489915 0.99489915 0.99489915 0.99489915
  0.99489915 0.99489915 0.99489915 0.99489915 0.99489915 0.99489915
  0.99489915 0.99489915 0.99489915 0.99489915 0.99489915 0.99489915
  0.99489915 0.99489915 0.99489915 0.99489915 0.99489915 0.99489915
  0.99489915 0.99489915 0.99489915 0.99489915 0.99489915 0.99489915
  0.99489915 0.99489915 0.99489915 0.99489915 0.99489915 0.99489915
  0.99489915 0.99489915 0.99489915 0.99489915 0.99489915 0.99489915
  0.99489915 0.99489915 0.99489915 0.99489915 0.99489915 0.99489915
  0.99489915 0.99489915 0.99489915 0.99489915 0.99489915 0.99489915
  0.99489915 0.99489915 0.99489915 0.99489915]]",[0.99489915]
2,"[[0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983
  0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983
  0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983
  0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983
  0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983
  0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983
  0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983
  0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983
  0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983
  0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983
  0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983
  0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983
  0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983
  0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983
  0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983
  0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983 0.9897983]]",[0.9897983]
3,"[[0.98469746 0.98469746 0.98469746 0.98469746 0.98469746 0.98469746
  0.98469746 0.98469746 0.98469746 0.98469746 0.98469746 0.98469746
  0.98469746 0.98469746 0.98469746 0.98469746 0.98469746 0.98469746
  0.98469746 0.98469746 0.98469746 0.98469746 0.98469746 0.98469746
  0.98469746 0.98469746 0.98469746 0.98469746 0.98469746 0.98469746
  0.98469746 0.98469746 0.98469746 0.98469746 0.98469746 0.98469746
  0.98469746 0.98469746 0.98469746 0.98469746 0.98469746 0.98469746
  0.98469746 0.98469746 0.98469746 0.98469746 0.98469746 0.98469746
  0.98469746 0.98469746 0.98469746 0.98469746 0.98469746 0.98469746
  0.98469746 0.98469746 0.98469746 0.98469746 0.98469746 0.98469746
  0.98469746 0.98469746 0.98469746 0.98469746 0.98469746 0.98469746
  0.98469746 0.98469746 0.98469746 0.98469746 0.98469746 0.98469746
  0.98469746 0.98469746 0.98469746 0.98469746 0.98469746 0.98469746
  0.98469746 0.98469746 0.98469746 0.98469746 0.98469746 0.98469746
  0.98469746 0.98469746 0.98469746 0.98469746 0.98469746 0.98469746
  0.98469746 0.98469746 0.98469746 0.98469746 0.98469746 0.98469746
  0.98469746 0.98469746 0.98469746 0.98469746 0.98469746 0.98469746
  0.98469746 0.98469746 0.98469746 0.98469746 0.98469746 0.98469746
  0.98469746 0.98469746 0.98469746 0.98469746]]",[0.98469746]
4,"[[0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966
  0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966
  0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966
  0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966
  0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966
  0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966
  0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966
  0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966
  0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966
  0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966
  0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966
  0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966
  0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966
  0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966
  0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966
  0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966 0.9795966]]",[0.9795966]
5,"[[0.97449577 0.97449577 0.97449577 0.97449577 0.97449577 0.97449577
  0.97449577 0.97449577 0.97449577 0.97449577 0.97449577 0.97449577
  0.97449577 0.97449577 0.97449577 0.97449577 0.97449577 0.97449577
  0.97449577 0.97449577 0.97449577 0.97449577 0.97449577 0.97449577
  0.97449577 0.97449577 0.97449577 0.97449577 0.97449577 0.97449577
  0.97449577 0.97449577 0.97449577 0.97449577 0.97449577 0.97449577
  0.97449577 0.97449577 0.97449577 0.97449577 0.97449577 0.97449577
  0.97449577 0.97449577 0.97449577 0.97449577 0.97449577 0.97449577
  0.97449577 0.97449577 0.97449577 0.97449577 0.97449577 0.97449577
  0.97449577 0.97449577 0.97449577 0.97449577 0.97449577 0.97449577
  0.97449577 0.97449577 0.97449577 0.97449577 0.97449577 0.97449577
  0.97449577 0.97449577 0.97449577 0.97449577 0.97449577 0.97449577
  0.97449577 0.97449577 0.97449577 0.97449577 0.97449577 0.97449577
  0.97449577 0.97449577 0.97449577 0.97449577 0.97449577 0.97449577
  0.97449577 0.97449577 0.97449577 0.97449577 0.97449577 0.97449577
  0.97449577 0.97449577 0.97449577 0.97449577 0.97449577 0.97449577
  0.97449577 0.97449577 0.97449577 0.97449577 0.97449577 0.97449577
  0.97449577 0.97449577 0.97449577 0.97449577 0.97449577 0.97449577
  0.97449577 0.97449577 0.97449577 0.97449577]]",[0.97449577]
6,"[[0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949
  0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949
  0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949
  0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949
  0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949
  0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949
  0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949
  0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949
  0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949
  0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949
  0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949
  0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949
  0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949
  0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949
  0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949
  0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949 0.9693949]]",[0.9693949]
7,"[[0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941
  0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941
  0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941
  0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941
  0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941
  0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941
  0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941
  0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941
  0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941
  0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941
  0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941
  0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941
  0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941
  0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941
  0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941
  0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941 0.9642941]]",[0.9642941]
8,"[[0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932
  0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932
  0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932
  0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932
  0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932
  0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932
  0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932
  0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932
  0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932
  0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932
  0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932
  0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932
  0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932
  0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932
  0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932
  0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932 0.9591932]]",[0.9591932]
9,"[[0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924
  0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924
  0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924
  0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924
  0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924
  0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924
  0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924
  0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924
  0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924
  0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924
  0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924
  0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924
  0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924
  0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924
  0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924
  0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924 0.9540924]]",[0.9540924]
