,linear.weight,linear.bias
0,"[[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1.]]",[1.]
1,"[[ 0.15824789  0.37606552  0.5747794   0.6387813   0.58521307 -0.3879834
   0.62506604  0.9119818   0.909609    0.6946183   0.8006749   0.9794396
   0.9812127   0.4135667   0.5219135   0.49719012  0.45704246  0.4433742
   0.8004864   0.40352967  0.7924997   0.20250815  1.0043927   0.84993446
   0.8370851   0.88389814  0.85287744  0.916536    0.96360695  0.929953
   0.8359458   1.0048674   0.89234203  0.96681726  0.19547641  0.20250815
   0.40352967  0.7048191   0.82675415  0.82336277  0.371939   -0.31921744
   0.78235805  0.80157214  0.8802057   0.9834627   0.93917346  0.72009957
   0.48560593  0.7469261   0.9922764   0.84221023  0.8036701   0.7579141
   0.57190686  0.81219727  0.8476264   0.94854534  0.92848307  0.98036736
   0.95368606  0.31951922  0.8838611  -0.00568129  0.7851273   0.37897506
  -0.5614638   0.72611743  0.908627    0.89752764  0.39467722 -0.40107015
  -0.15604241 -1.38634     0.80562764 -1.3937885   0.81307554  0.19581518
   0.65112793 -0.04539445  0.8572298   0.70330834 -0.75278956  0.9777618
   0.9628294   0.9510533   0.96192026  0.95952874  0.9786153   0.95524037
   0.9717141   0.97333694  0.95642895  0.95844096  0.9605176   0.97327197
   0.9770362   0.93255883  0.97075945  0.96819997  0.9576407   0.9583813
   0.80708706  0.97265327  0.97722137  0.97722536  0.95830196  0.9756888
   0.97500485  0.9676547   0.96574646  0.9677163   0.97980076  0.967242
   0.971256    0.98040646  0.9750602   0.98186046  0.9533536   0.97502416
   0.977308    0.97658324  0.98166716]]",[-1.5629128]
2,"[[-0.00391627  0.24437422  0.54428315  0.646435    0.59400606 -0.16561241
   0.42541963  0.86295366  0.8809921   0.5669611   0.70522213  0.95954084
   0.9631154   0.3175566   0.47775888  0.4430777   0.39889967  0.3858889
   0.8151628   0.40250704  0.7257946   0.20598327  1.0137211   0.7901049
   0.7835318   0.823478    0.7720738   0.8785978   0.98054343  0.8840208
   0.7768735   1.0140264   0.82528424  0.9398643  -0.11059933  0.20598327
   0.40250704  0.60923654  0.93025523  0.97100234  0.25112492 -0.43642873
   0.70117444  0.73845404  0.81987697  0.9685692   0.945335    0.67807823
   0.34195766  0.75069076  1.1061417   0.8811819   0.7273258   0.68128395
   0.52727646  0.70231795  0.7967778   0.9196434   0.8992743   0.96158576
   1.0243609   0.1920359   0.9599394  -0.05132077  0.69321936  0.20514688
  -0.35520172  0.55160207  0.854329    0.82756376  0.21288551 -0.5523207
  -0.19009699 -1.4789937   0.6773761  -1.4809685   0.67935044 -0.00935706
   0.53700984  0.00637622  0.8403925   0.70515954 -0.49691617  0.9571277
   0.93530715  0.91441065  0.93599254  0.9290849   0.9590176   0.9159522
   0.9482097   0.94939226  0.92073923  0.9214362   0.9314899   0.9490664
   0.95664835  0.88538563  0.94622415  0.9423676   0.9297754   0.92556304
   0.6968872   0.9491314   0.9573088   0.95636874  0.9267503   0.95292526
   0.95185316  0.93974346  0.9386453   0.93993026  0.9599353   0.9422622
   0.9469784   0.96179897  0.9524285   0.96398526  0.92118937  0.9530005
   0.95665485  0.95443946  0.9635145 ]]",[-1.7660186]
3,"[[-0.09150823  0.14904259  0.51123136  0.6442023   0.6077764  -0.00639403
   0.27851674  0.8170837   0.8609638   0.47490397  0.6281116   0.9398588
   0.9450999   0.24286811  0.4392974   0.39122078  0.35989454  0.34986314
   0.79365945  0.40694156  0.67719513  0.2117216   1.019413    0.74312735
   0.7420518   0.77633375  0.7082325   0.848414    0.98185074  0.84599817
   0.7334353   1.0199753   0.7724989   0.91487515 -0.29939795  0.2117216
   0.40694156  0.5385787   0.9751009   1.0129588   0.17584325 -0.47297055
   0.6395533   0.6917389   0.7729077   0.9537003   0.95067     0.64137876
   0.24282047  0.7479763   1.1709018   0.9067705   0.6611333   0.614956
   0.5037467   0.6113092   0.7501773   0.89414984  0.8773132   0.94293296
   1.0913318   0.10330528  0.9292248  -0.03870527  0.6239723   0.09201474
  -0.20968077  0.41675064  0.8080368   0.7695172   0.10211498 -0.60893506
  -0.24892049 -1.5101092   0.55745435 -1.5055087   0.55285275 -0.12027823
   0.45305315  0.03898654  0.81373715  0.68964463 -0.28044292  0.93734264
   0.9096485   0.8816058   0.91235954  0.90164447  0.9397489   0.88026285
   0.9264312   0.9260155   0.8888585   0.88756007  0.90486383  0.925565
   0.93715924  0.84728795  0.9234829   0.9176032   0.905609    0.8959152
   0.6118177   0.92683464  0.93784493  0.9360697   0.8986163   0.9309722
   0.9296586   0.91422796  0.91485196  0.913646    0.94020724  0.9193019
   0.9238853   0.9433504   0.93080187  0.9463893   0.8924852   0.93214905
   0.9365282   0.9331446   0.94544005]]",[-1.8992566]
4,"[[-0.16412379  0.07630786  0.48143873  0.64000463  0.6218138   0.07620479
   0.1689392   0.7754722   0.84482384  0.40341237  0.56170964  0.9202639
   0.92711204  0.18183787  0.40435553  0.34333664  0.32923758  0.32347313
   0.7595748   0.40760532  0.6384715   0.21395212  1.0235271   0.7036805
   0.7085636   0.7367708   0.6548081   0.82264024  0.9743914   0.8127413
   0.69851     1.024206    0.7284073   0.89116335 -0.43266195  0.21395212
   0.40760532  0.48344314  0.99530286  1.0319302   0.11639723 -0.48442078
   0.5864402   0.65096873  0.732727    0.9387822   0.95477414  0.6126372
   0.16555354  0.7421866   1.2071077   0.92376196  0.6011427   0.55604607
   0.48634043  0.5339384   0.7081752   0.8700147   0.8603701   0.9243662
   1.148257    0.03028164  0.8822814  -0.0146374   0.565809    0.00604923
  -0.10119018  0.31003526  0.7661895   0.7188926   0.02750671 -0.64264256
  -0.29151598 -1.5168126   0.45225444 -1.5007515   0.43619233 -0.20285451
   0.38492706  0.06813974  0.78420836  0.6754196  -0.0986945   0.91830707
   0.8853285   0.8512539   0.8903633   0.8762468   0.92066175  0.8472304
   0.905957    0.90309584  0.85972404  0.85614765  0.8798131   0.9027611
   0.9181141   0.81559193  0.9021861   0.8936314   0.88342696  0.8682781
   0.5426652   0.9053888   0.9187148   0.91619694  0.87250024  0.90968287
   0.9082142   0.89044535  0.89289224  0.88831985  0.9206101   0.89742345
   0.90155     0.9249936   0.90985394  0.92904633  0.86574525  0.91199225
   0.9167317   0.91247994  0.9274187 ]]",[-1.9933606]
5,"[[-2.2815891e-01  1.9618437e-02  4.5570034e-01  6.3529795e-01
   6.3301140e-01  1.2957160e-01  8.4321573e-02  7.3689443e-01
   8.3002180e-01  3.4458140e-01  5.0207227e-01  9.0071434e-01
   9.0913570e-01  1.3035752e-01  3.7203771e-01  2.9989758e-01
   3.0266356e-01  3.0171251e-01  7.2217888e-01  4.0325990e-01
   6.0602158e-01  2.1128036e-01  1.0265546e+00  6.6936636e-01
   6.8053198e-01  7.0199287e-01  6.0832459e-01  7.9971164e-01
   9.6131545e-01  7.8263617e-01  6.6885072e-01  1.0271894e+00
   6.9004369e-01  8.6837727e-01 -5.3000933e-01  2.1128036e-01
   4.0325990e-01  4.3889651e-01  1.0042421e+00  1.0452703e+00
   6.5336034e-02 -4.8540446e-01  5.3817517e-01  6.1332488e-01
   6.9673771e-01  9.2380941e-01  9.5769626e-01  5.8949345e-01
   1.0208697e-01  7.3472786e-01  1.2252504e+00  9.3463826e-01
   5.4568589e-01  5.0307024e-01  4.7132939e-01  4.6615186e-01
   6.6992968e-01  8.4667122e-01  8.4657639e-01  9.0585643e-01
   1.1959926e+00 -1.5387830e-02  8.3646041e-01 -1.2873007e-03
   5.1465988e-01 -3.1369794e-02 -1.9709321e-02  2.2504413e-01
   7.2736484e-01  6.7354035e-01 -9.7802188e-03 -6.6867065e-01
  -3.1645939e-01 -1.5141840e+00  3.6305302e-01 -1.4820923e+00
   3.3096027e-01 -2.6767004e-01  3.2737216e-01  9.0304613e-02
   7.5503165e-01  6.6482943e-01  4.3381065e-02  8.9992130e-01
   8.6211896e-01  8.2276481e-01  8.6970305e-01  8.5246682e-01
   9.0169710e-01  8.1631464e-01  8.8654953e-01  8.8056713e-01
   8.3267897e-01  8.2674485e-01  8.5599613e-01  8.8058364e-01
   8.9932609e-01  7.8884625e-01  8.8203239e-01  8.7034714e-01
   8.6258858e-01  8.4215879e-01  4.8444358e-01  8.8456911e-01
   8.9987510e-01  8.9668489e-01  8.4775305e-01  8.8893223e-01
   8.8736403e-01  8.6798227e-01  8.7209946e-01  8.6370391e-01
   9.0116620e-01  8.7625599e-01  8.7981266e-01  9.0671623e-01
   8.8943374e-01  9.1191787e-01  8.4034282e-01  8.9230335e-01
   8.9718181e-01  8.9231122e-01  9.0943974e-01]]",[-2.0621321]
6,"[[-2.8615454e-01 -3.6839787e-03  4.3556550e-01  6.3258362e-01
   6.4368123e-01  1.6562918e-01  1.8838488e-02  7.0145565e-01
   8.1613898e-01  2.9549021e-01  4.4796064e-01  8.8120311e-01
   8.9116055e-01  8.7647058e-02  3.4298646e-01  2.6180193e-01
   2.7885035e-01  2.8250599e-01  6.8606192e-01  3.9575633e-01
   5.7777762e-01  2.0561776e-01  1.0288302e+00  6.3901514e-01
   6.5662420e-01  6.7030102e-01  5.6673408e-01  7.7865893e-01
   9.4522274e-01  7.5461501e-01  6.4269841e-01  1.0293304e+00
   6.5546423e-01  8.4624350e-01 -6.0327017e-01  2.0561776e-01
   3.9575633e-01  4.0243739e-01  1.0098512e+00  1.0593411e+00
   2.1825628e-02 -4.8079035e-01  4.9330258e-01  5.7823884e-01
   6.6364491e-01  9.0880603e-01  9.5970476e-01  5.7037789e-01
   4.8033629e-02  7.2670925e-01  1.2331023e+00  9.4229364e-01
   4.9355751e-01  4.5467928e-01  4.5784193e-01  4.0567967e-01
   6.3487780e-01  8.2384449e-01  8.3500856e-01  8.8739032e-01
   1.2366998e+00 -3.8831785e-02  7.9670954e-01  2.3545141e-04
   4.6833241e-01 -5.6555297e-02  2.8146487e-02  1.5620749e-01
   6.9084740e-01  6.3196129e-01 -1.4381952e-02 -6.8902189e-01
  -3.2438576e-01 -1.5049829e+00  2.8997502e-01 -1.4532832e+00
   2.3827401e-01 -3.1958112e-01  2.7793032e-01  1.0689773e-01
   7.2825736e-01  6.5908611e-01  1.4242987e-01  8.8204348e-01
   8.3973867e-01  7.9563868e-01  8.5005468e-01  8.2988113e-01
   8.8280684e-01  7.8699803e-01  8.6795896e-01  8.5834789e-01
   8.0714899e-01  7.9889423e-01  8.3308297e-01  8.5889685e-01
   8.8068789e-01  7.6571792e-01  8.6271238e-01  8.4760493e-01
   8.4257543e-01  8.1715018e-01  4.3353200e-01  8.6419630e-01
   8.8126534e-01  8.7743723e-01  8.2391566e-01  8.6857498e-01
   8.6693865e-01  8.4646493e-01  8.5197860e-01  8.3959854e-01
   8.8188022e-01  8.5555470e-01  8.5852414e-01  8.8849044e-01
   8.6941296e-01  8.9495039e-01  8.1584352e-01  8.7290287e-01
   8.7779385e-01  8.7249583e-01  8.9149219e-01]]",[-2.1082103]
7,"[[-3.39010715e-01 -1.23659009e-02  4.20527875e-01  6.31946325e-01
   6.53853416e-01  1.88044131e-01 -1.38554983e-02  6.68749094e-01
   8.02588880e-01  2.53606081e-01  3.98195475e-01  8.61723423e-01
   8.73182952e-01  5.09598702e-02  3.16172957e-01  2.28030175e-01
   2.56370634e-01  2.64017224e-01  6.51129663e-01  3.85669976e-01
   5.52449703e-01  1.97181016e-01  1.03019023e+00  6.11554682e-01
   6.35574400e-01  6.40710413e-01  5.28692186e-01  7.58894026e-01
   9.27013874e-01  7.28071928e-01  6.18941486e-01  1.03065217e+00
   6.23585701e-01  8.24592650e-01 -6.59619570e-01  1.97181016e-01
   3.85669976e-01  3.71726781e-01  1.01279271e+00  1.07206357e+00
  -7.53290311e-04 -4.73483056e-01  4.51122999e-01  5.45483053e-01
   6.32709622e-01  8.93782258e-01  9.60791647e-01  5.53400397e-01
   9.07797948e-04  7.17962742e-01  1.23392773e+00  9.46897745e-01
   4.44018006e-01  4.09939766e-01  4.45285946e-01  3.50652605e-01
   6.02230191e-01  8.01395178e-01  8.24871778e-01  8.68952930e-01
   1.27160084e+00 -5.91134354e-02  7.60203540e-01  2.74275010e-03
   4.25484568e-01 -7.45688528e-02  5.57857975e-02  9.89894047e-02
   6.55828238e-01  5.92985868e-01 -1.34521397e-02 -7.04624712e-01
  -3.22423786e-01 -1.49520576e+00  2.30956942e-01 -1.42201221e+00
   1.57761395e-01 -3.62072647e-01  2.34856099e-01  1.17789224e-01
   7.04021692e-01  6.55354619e-01  2.26576269e-01  8.64550352e-01
   8.18011999e-01  7.69572437e-01  8.31224263e-01  8.08257878e-01
   8.63971591e-01  7.58886158e-01  8.49985778e-01  8.36387694e-01
   7.82691360e-01  7.72203743e-01  8.10902894e-01  8.37589681e-01
   8.62149358e-01  7.45223463e-01  8.44046831e-01  8.25340927e-01
   8.23073983e-01  7.92977214e-01  3.87952387e-01  8.44163299e-01
   8.62837732e-01  8.58409047e-01  8.00724149e-01  8.48502100e-01
   8.46822917e-01  8.25609684e-01  8.32287312e-01  8.15887928e-01
   8.62756848e-01  8.35191250e-01  8.37606788e-01  8.70311737e-01
   8.49684298e-01  8.78117800e-01  7.92034686e-01  8.53687286e-01
   8.58539402e-01  8.52933705e-01  8.73569548e-01]]",[-2.1396503]
8,"[[-0.38718766 -0.01956419  0.4093828   0.6321807   0.6625842   0.20264845
  -0.02564251  0.63853616  0.7892567   0.21732531  0.35207948  0.842273
   0.8552024   0.01823392  0.29086694  0.19749753  0.2345781   0.24561918
   0.6174578   0.37358895  0.5291849   0.18648869  1.0303782   0.58617455
   0.6164221   0.61261266  0.49324203  0.7400669   0.9071186   0.7026193
   0.5968323   1.031131    0.5937118   0.8033102  -0.70377165  0.18648869
   0.37358895  0.34499454  1.0132941   1.0848973  -0.00410611 -0.46442324
   0.4112852   0.5148488   0.6035191   0.8787459   0.9610609   0.53761643
  -0.01141904  0.7082675   1.2296559   0.9484919   0.39682433  0.36858422
   0.43352574  0.29936263  0.5716543   0.7792466   0.815847    0.8505405
   1.301902   -0.07705568  0.7274326   0.00344975  0.38536242 -0.08789633
   0.07678925  0.05115349  0.6219911   0.55609614 -0.00905025 -0.71715534
  -0.31404838 -1.4870495   0.18304613 -1.3921523   0.0881457  -0.39791954
   0.19672063  0.12476518  0.68202543  0.6512021   0.29627594  0.84737587
   0.79681826  0.7443917   0.8130833   0.78744996  0.8451806   0.7318038
   0.83250725  0.8146509   0.75905806  0.74646807  0.78934133  0.8165733
   0.843682    0.7268669   0.8259061   0.80351084  0.8039663   0.7694893
   0.34651762  0.8243969   0.84456336  0.8395563   0.7780379   0.82866496
   0.82696074  0.80529463  0.8129225   0.7925029   0.84377813  0.81509614
   0.8170114   0.8521781   0.83018506  0.8613992   0.7687689   0.8346158
   0.8393988   0.8335882   0.8556668 ]]",[-2.1616058]
9,"[[-0.43122876 -0.02534106  0.40118012  0.63298184  0.6699641   0.21198371
  -0.03452092  0.61059976  0.77610993  0.18554674  0.30915445  0.8228499
   0.8372188  -0.00269872  0.2672284   0.1698909   0.21364908  0.2274861
   0.585338    0.36025724  0.5073839   0.17439948  1.0294398   0.5624002
   0.5985844   0.5855754   0.4597598   0.72190976  0.8860822   0.677986
   0.57588255  1.0308423   0.56534356  0.7823082  -0.738997    0.17439948
   0.36025724  0.32118276  1.0123123   1.0982072  -0.00461183 -0.45408347
   0.37354994  0.48616117  0.57579213  0.8637089   0.9606212   0.5226967
  -0.01725763  0.6979265   1.2222351   0.9478109   0.35174093  0.33029738
   0.42259833  0.2510938   0.5429449   0.75735086  0.80769587  0.8321495
   1.3284587  -0.09307969  0.69808114  0.00374843  0.34748784 -0.09754097
   0.09285675  0.0109706   0.58914465  0.52092844 -0.0023633  -0.7267017
  -0.30094165 -1.4802431   0.14419997 -1.3643855   0.0283391  -0.42876047
   0.16263065  0.12886657  0.6620928   0.64652413  0.35410023  0.8304658
   0.7760724   0.71994454  0.7955363   0.7673514   0.82642746  0.7056063
   0.81542844  0.7931122   0.73608536  0.721518    0.76830095  0.7957997
   0.82526815  0.7102283   0.80818987  0.7820684   0.78516906  0.74656194
   0.30834627  0.80484754  0.82642037  0.8208519   0.7557489   0.8090244
   0.8073122   0.7854371   0.7938076   0.7693989   0.82493424  0.795219
   0.79668677  0.8340837   0.8108687   0.8447728   0.7459269   0.8156606
   0.8203545   0.8144276   0.83777976]]",[-2.1758447]
