,linear.weight,linear.bias
0,"[[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.
  1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]]",[1.]
1,"[[0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652
  0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652
  0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652
  0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652
  0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652
  0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652
  0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652
  0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652
  0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652
  0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652
  0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652
  0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652
  0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652
  0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652 0.998652]]",[0.99876386]
2,"[[0.99751073 0.99751073 0.99751073 0.99751073 0.99751073 0.99751073
  0.99751073 0.99751073 0.99751073 0.99751073 0.99751073 0.99751073
  0.99751073 0.99751073 0.99751073 0.99751073 0.99751073 0.99751073
  0.99751073 0.99751073 0.99751073 0.99751073 0.99751073 0.99751073
  0.99751073 0.99751073 0.99751073 0.99751073 0.99751073 0.99751073
  0.99751073 0.99751073 0.99751073 0.99751073 0.99751073 0.99751073
  0.99751073 0.99751073 0.99751073 0.99751073 0.99751073 0.99751073
  0.99751073 0.99751073 0.99751073 0.99751073 0.99751073 0.99751073
  0.99751073 0.99751073 0.99751073 0.99751073 0.99751073 0.99751073
  0.99751073 0.99751073 0.99751073 0.99751073 0.99751073 0.99751073
  0.99751073 0.99751073 0.99751073 0.99751073 0.99751073 0.99751073
  0.99751073 0.99751073 0.99751073 0.99751073 0.99751073 0.99751073
  0.99751073 0.99751073 0.99751073 0.99751073 0.99751073 0.99751073
  0.99751073 0.99751073 0.99751073 0.99751073 0.99751073 0.99751073
  0.99751073 0.99751073 0.99751073 0.99751073 0.99751073 0.99751073
  0.99751073 0.99751073 0.99751073 0.99751073 0.99751073 0.99751073
  0.99751073 0.99751073 0.99751073 0.99751073 0.99751073 0.99751073
  0.99751073 0.99751073 0.99751073 0.99751073 0.99751073 0.99751073
  0.99751073 0.99751073 0.99751073 0.99751073]]",[0.997435]
3,"[[0.99640316 0.99640316 0.99640316 0.99640316 0.99640316 0.99640316
  0.99640316 0.99640316 0.99640316 0.99640316 0.99640316 0.99640316
  0.99640316 0.99640316 0.99640316 0.99640316 0.99640316 0.99640316
  0.99640316 0.99640316 0.99640316 0.99640316 0.99640316 0.99640316
  0.99640316 0.99640316 0.99640316 0.99640316 0.99640316 0.99640316
  0.99640316 0.99640316 0.99640316 0.99640316 0.99640316 0.99640316
  0.99640316 0.99640316 0.99640316 0.99640316 0.99640316 0.99640316
  0.99640316 0.99640316 0.99640316 0.99640316 0.99640316 0.99640316
  0.99640316 0.99640316 0.99640316 0.99640316 0.99640316 0.99640316
  0.99640316 0.99640316 0.99640316 0.99640316 0.99640316 0.99640316
  0.99640316 0.99640316 0.99640316 0.99640316 0.99640316 0.99640316
  0.99640316 0.99640316 0.99640316 0.99640316 0.99640316 0.99640316
  0.99640316 0.99640316 0.99640316 0.99640316 0.99640316 0.99640316
  0.99640316 0.99640316 0.99640316 0.99640316 0.99640316 0.99640316
  0.99640316 0.99640316 0.99640316 0.99640316 0.99640316 0.99640316
  0.99640316 0.99640316 0.99640316 0.99640316 0.99640316 0.99640316
  0.99640316 0.99640316 0.99640316 0.99640316 0.99640316 0.99640316
  0.99640316 0.99640316 0.99640316 0.99640316 0.99640316 0.99640316
  0.99640316 0.99640316 0.99640316 0.99640316]]",[0.9961961]
4,"[[0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449
  0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449
  0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449
  0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449
  0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449
  0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449
  0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449
  0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449
  0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449
  0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449
  0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449
  0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449
  0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449
  0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449
  0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449
  0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449 0.9951449]]",[0.99493057]
5,"[[0.99395096 0.99395096 0.99395096 0.99395096 0.99395096 0.99395096
  0.99395096 0.99395096 0.99395096 0.99395096 0.99395096 0.99395096
  0.99395096 0.99395096 0.99395096 0.99395096 0.99395096 0.99395096
  0.99395096 0.99395096 0.99395096 0.99395096 0.99395096 0.99395096
  0.99395096 0.99395096 0.99395096 0.99395096 0.99395096 0.99395096
  0.99395096 0.99395096 0.99395096 0.99395096 0.99395096 0.99395096
  0.99395096 0.99395096 0.99395096 0.99395096 0.99395096 0.99395096
  0.99395096 0.99395096 0.99395096 0.99395096 0.99395096 0.99395096
  0.99395096 0.99395096 0.99395096 0.99395096 0.99395096 0.99395096
  0.99395096 0.99395096 0.99395096 0.99395096 0.99395096 0.99395096
  0.99395096 0.99395096 0.99395096 0.99395096 0.99395096 0.99395096
  0.99395096 0.99395096 0.99395096 0.99395096 0.99395096 0.99395096
  0.99395096 0.99395096 0.99395096 0.99395096 0.99395096 0.99395096
  0.99395096 0.99395096 0.99395096 0.99395096 0.99395096 0.99395096
  0.99395096 0.99395096 0.99395096 0.99395096 0.99395096 0.99395096
  0.99395096 0.99395096 0.99395096 0.99395096 0.99395096 0.99395096
  0.99395096 0.99395096 0.99395096 0.99395096 0.99395096 0.99395096
  0.99395096 0.99395096 0.99395096 0.99395096 0.99395096 0.99395096
  0.99395096 0.99395096 0.99395096 0.99395096]]",[0.9936211]
6,"[[0.99276006 0.99276006 0.99276006 0.99276006 0.99276006 0.99276006
  0.99276006 0.99276006 0.99276006 0.99276006 0.99276006 0.99276006
  0.99276006 0.99276006 0.99276006 0.99276006 0.99276006 0.99276006
  0.99276006 0.99276006 0.99276006 0.99276006 0.99276006 0.99276006
  0.99276006 0.99276006 0.99276006 0.99276006 0.99276006 0.99276006
  0.99276006 0.99276006 0.99276006 0.99276006 0.99276006 0.99276006
  0.99276006 0.99276006 0.99276006 0.99276006 0.99276006 0.99276006
  0.99276006 0.99276006 0.99276006 0.99276006 0.99276006 0.99276006
  0.99276006 0.99276006 0.99276006 0.99276006 0.99276006 0.99276006
  0.99276006 0.99276006 0.99276006 0.99276006 0.99276006 0.99276006
  0.99276006 0.99276006 0.99276006 0.99276006 0.99276006 0.99276006
  0.99276006 0.99276006 0.99276006 0.99276006 0.99276006 0.99276006
  0.99276006 0.99276006 0.99276006 0.99276006 0.99276006 0.99276006
  0.99276006 0.99276006 0.99276006 0.99276006 0.99276006 0.99276006
  0.99276006 0.99276006 0.99276006 0.99276006 0.99276006 0.99276006
  0.99276006 0.99276006 0.99276006 0.99276006 0.99276006 0.99276006
  0.99276006 0.99276006 0.99276006 0.99276006 0.99276006 0.99276006
  0.99276006 0.99276006 0.99276006 0.99276006 0.99276006 0.99276006
  0.99276006 0.99276006 0.99276006 0.99276006]]",[0.99244046]
7,"[[0.99167025 0.99167025 0.99167025 0.99167025 0.99167025 0.99167025
  0.99167025 0.99167025 0.99167025 0.99167025 0.99167025 0.99167025
  0.99167025 0.99167025 0.99167025 0.99167025 0.99167025 0.99167025
  0.99167025 0.99167025 0.99167025 0.99167025 0.99167025 0.99167025
  0.99167025 0.99167025 0.99167025 0.99167025 0.99167025 0.99167025
  0.99167025 0.99167025 0.99167025 0.99167025 0.99167025 0.99167025
  0.99167025 0.99167025 0.99167025 0.99167025 0.99167025 0.99167025
  0.99167025 0.99167025 0.99167025 0.99167025 0.99167025 0.99167025
  0.99167025 0.99167025 0.99167025 0.99167025 0.99167025 0.99167025
  0.99167025 0.99167025 0.99167025 0.99167025 0.99167025 0.99167025
  0.99167025 0.99167025 0.99167025 0.99167025 0.99167025 0.99167025
  0.99167025 0.99167025 0.99167025 0.99167025 0.99167025 0.99167025
  0.99167025 0.99167025 0.99167025 0.99167025 0.99167025 0.99167025
  0.99167025 0.99167025 0.99167025 0.99167025 0.99167025 0.99167025
  0.99167025 0.99167025 0.99167025 0.99167025 0.99167025 0.99167025
  0.99167025 0.99167025 0.99167025 0.99167025 0.99167025 0.99167025
  0.99167025 0.99167025 0.99167025 0.99167025 0.99167025 0.99167025
  0.99167025 0.99167025 0.99167025 0.99167025 0.99167025 0.99167025
  0.99167025 0.99167025 0.99167025 0.99167025]]",[0.99116707]
8,"[[0.99034226 0.99034226 0.99034226 0.99034226 0.99034226 0.99034226
  0.99034226 0.99034226 0.99034226 0.99034226 0.99034226 0.99034226
  0.99034226 0.99034226 0.99034226 0.99034226 0.99034226 0.99034226
  0.99034226 0.99034226 0.99034226 0.99034226 0.99034226 0.99034226
  0.99034226 0.99034226 0.99034226 0.99034226 0.99034226 0.99034226
  0.99034226 0.99034226 0.99034226 0.99034226 0.99034226 0.99034226
  0.99034226 0.99034226 0.99034226 0.99034226 0.99034226 0.99034226
  0.99034226 0.99034226 0.99034226 0.99034226 0.99034226 0.99034226
  0.99034226 0.99034226 0.99034226 0.99034226 0.99034226 0.99034226
  0.99034226 0.99034226 0.99034226 0.99034226 0.99034226 0.99034226
  0.99034226 0.99034226 0.99034226 0.99034226 0.99034226 0.99034226
  0.99034226 0.99034226 0.99034226 0.99034226 0.99034226 0.99034226
  0.99034226 0.99034226 0.99034226 0.99034226 0.99034226 0.99034226
  0.99034226 0.99034226 0.99034226 0.99034226 0.99034226 0.99034226
  0.99034226 0.99034226 0.99034226 0.99034226 0.99034226 0.99034226
  0.99034226 0.99034226 0.99034226 0.99034226 0.99034226 0.99034226
  0.99034226 0.99034226 0.99034226 0.99034226 0.99034226 0.99034226
  0.99034226 0.99034226 0.99034226 0.99034226 0.99034226 0.99034226
  0.99034226 0.99034226 0.99034226 0.99034226]]",[0.98988247]
9,"[[0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216
  0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216
  0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216
  0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216
  0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216
  0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216
  0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216
  0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216
  0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216
  0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216
  0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216
  0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216
  0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216
  0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216
  0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216
  0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216 0.9890216]]",[0.9884543]
10,"[[0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958
  0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958
  0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958
  0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958
  0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958
  0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958
  0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958
  0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958
  0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958
  0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958
  0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958
  0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958
  0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958
  0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958
  0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958
  0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958 0.9876958]]",[0.9873612]
11,"[[0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995
  0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995
  0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995
  0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995
  0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995
  0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995
  0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995
  0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995
  0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995
  0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995
  0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995
  0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995
  0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995
  0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995
  0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995
  0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995 0.9863995]]",[0.9861245]
12,"[[0.98510134 0.98510134 0.98510134 0.98510134 0.98510134 0.98510134
  0.98510134 0.98510134 0.98510134 0.98510134 0.98510134 0.98510134
  0.98510134 0.98510134 0.98510134 0.98510134 0.98510134 0.98510134
  0.98510134 0.98510134 0.98510134 0.98510134 0.98510134 0.98510134
  0.98510134 0.98510134 0.98510134 0.98510134 0.98510134 0.98510134
  0.98510134 0.98510134 0.98510134 0.98510134 0.98510134 0.98510134
  0.98510134 0.98510134 0.98510134 0.98510134 0.98510134 0.98510134
  0.98510134 0.98510134 0.98510134 0.98510134 0.98510134 0.98510134
  0.98510134 0.98510134 0.98510134 0.98510134 0.98510134 0.98510134
  0.98510134 0.98510134 0.98510134 0.98510134 0.98510134 0.98510134
  0.98510134 0.98510134 0.98510134 0.98510134 0.98510134 0.98510134
  0.98510134 0.98510134 0.98510134 0.98510134 0.98510134 0.98510134
  0.98510134 0.98510134 0.98510134 0.98510134 0.98510134 0.98510134
  0.98510134 0.98510134 0.98510134 0.98510134 0.98510134 0.98510134
  0.98510134 0.98510134 0.98510134 0.98510134 0.98510134 0.98510134
  0.98510134 0.98510134 0.98510134 0.98510134 0.98510134 0.98510134
  0.98510134 0.98510134 0.98510134 0.98510134 0.98510134 0.98510134
  0.98510134 0.98510134 0.98510134 0.98510134 0.98510134 0.98510134
  0.98510134 0.98510134 0.98510134 0.98510134]]",[0.98483384]
13,"[[0.98374534 0.98374534 0.98374534 0.98374534 0.98374534 0.98374534
  0.98374534 0.98374534 0.98374534 0.98374534 0.98374534 0.98374534
  0.98374534 0.98374534 0.98374534 0.98374534 0.98374534 0.98374534
  0.98374534 0.98374534 0.98374534 0.98374534 0.98374534 0.98374534
  0.98374534 0.98374534 0.98374534 0.98374534 0.98374534 0.98374534
  0.98374534 0.98374534 0.98374534 0.98374534 0.98374534 0.98374534
  0.98374534 0.98374534 0.98374534 0.98374534 0.98374534 0.98374534
  0.98374534 0.98374534 0.98374534 0.98374534 0.98374534 0.98374534
  0.98374534 0.98374534 0.98374534 0.98374534 0.98374534 0.98374534
  0.98374534 0.98374534 0.98374534 0.98374534 0.98374534 0.98374534
  0.98374534 0.98374534 0.98374534 0.98374534 0.98374534 0.98374534
  0.98374534 0.98374534 0.98374534 0.98374534 0.98374534 0.98374534
  0.98374534 0.98374534 0.98374534 0.98374534 0.98374534 0.98374534
  0.98374534 0.98374534 0.98374534 0.98374534 0.98374534 0.98374534
  0.98374534 0.98374534 0.98374534 0.98374534 0.98374534 0.98374534
  0.98374534 0.98374534 0.98374534 0.98374534 0.98374534 0.98374534
  0.98374534 0.98374534 0.98374534 0.98374534 0.98374534 0.98374534
  0.98374534 0.98374534 0.98374534 0.98374534 0.98374534 0.98374534
  0.98374534 0.98374534 0.98374534 0.98374534]]",[0.98344874]
14,"[[0.98247194 0.98247194 0.98247194 0.98247194 0.98247194 0.98247194
  0.98247194 0.98247194 0.98247194 0.98247194 0.98247194 0.98247194
  0.98247194 0.98247194 0.98247194 0.98247194 0.98247194 0.98247194
  0.98247194 0.98247194 0.98247194 0.98247194 0.98247194 0.98247194
  0.98247194 0.98247194 0.98247194 0.98247194 0.98247194 0.98247194
  0.98247194 0.98247194 0.98247194 0.98247194 0.98247194 0.98247194
  0.98247194 0.98247194 0.98247194 0.98247194 0.98247194 0.98247194
  0.98247194 0.98247194 0.98247194 0.98247194 0.98247194 0.98247194
  0.98247194 0.98247194 0.98247194 0.98247194 0.98247194 0.98247194
  0.98247194 0.98247194 0.98247194 0.98247194 0.98247194 0.98247194
  0.98247194 0.98247194 0.98247194 0.98247194 0.98247194 0.98247194
  0.98247194 0.98247194 0.98247194 0.98247194 0.98247194 0.98247194
  0.98247194 0.98247194 0.98247194 0.98247194 0.98247194 0.98247194
  0.98247194 0.98247194 0.98247194 0.98247194 0.98247194 0.98247194
  0.98247194 0.98247194 0.98247194 0.98247194 0.98247194 0.98247194
  0.98247194 0.98247194 0.98247194 0.98247194 0.98247194 0.98247194
  0.98247194 0.98247194 0.98247194 0.98247194 0.98247194 0.98247194
  0.98247194 0.98247194 0.98247194 0.98247194 0.98247194 0.98247194
  0.98247194 0.98247194 0.98247194 0.98247194]]",[0.98213845]
